catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
3400,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Algorithm including Known ASCVD from AHA/ACC/none,https://www.mdcalc.com/calc/3400/ascvd-atherosclerotic-cardiovascular-disease-risk-algorithm-including-known-ascvd-aha-acc,"Algorithm, Prognosis","Cardiology, Family Practice, Internal Medicine, Pharmacy, Primary Care","Acute Coronary Syndrome, Diabetes Mellitus, Dyslipidemia, Stroke / Transient Ischemic Attack (TIA)",ascvd atherosclerotic cardiovascular disease risk algorithm including known ascvd from aha acc
10621,Assure Renal Cell Carcinoma (RCC) Prognosis/none,https://www.mdcalc.com/calc/10621/assure-renal-cell-carcinoma-rcc-prognosis,Prognosis,"Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Nephrology, Surgery (General), Urology","Cancer, Renal Cell Carcinoma, Renal Failure",assure renal cell carcinoma rcc prognosis
3094,AST to Platelet Ratio Index (APRI),https://www.mdcalc.com/calc/3094/ast-platelet-ratio-index-apri,Formula,"Gastroenterology, Hepatology, Internal Medicine",Hepatitis,ast to platelet ratio index apri
10495,Asthma Impairment and Risk Questionnaire (AIRQ),https://www.mdcalc.com/calc/10495/asthma-impairment-risk-questionnaire-airq,Prognosis,"Allergy and Immunology, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care, Pulmonology",Asthma,asthma impairment and risk questionnaire airq
3381,Asthma Predictive Index (API),https://www.mdcalc.com/calc/3381/asthma-predictive-index-api,Diagnosis,"Allergy and Immunology, Family Practice, Internal Medicine, Pediatrics, Primary Care, Pulmonology",Asthma,asthma predictive index api
3967,ASTRAL Score for Ischemic Stroke,https://www.mdcalc.com/calc/3967/astral-score-stroke,Prognosis,"Cardiology, Critical Care (Neurologic), Neurology",Stroke / Transient Ischemic Attack (TIA),astral score for ischemic stroke
3929,Asymptomatic Myeloma Prognosis/none,https://www.mdcalc.com/calc/3929/asymptomatic-myeloma-prognosis,Prognosis,Hematology and Oncology,"Cancer, Hematologic Malignancy, Multiple Myeloma",asymptomatic myeloma prognosis
10218,ATLAS Score for Clostridium Difficile Infection/none,https://www.mdcalc.com/calc/10218/atlas-score-clostridium-difficile-infection,Prognosis,"Family Practice, Gastroenterology, Hospitalist Medicine, Internal Medicine, Primary Care",Sepsis,atlas score for clostridium difficile infection
1718,ATRIA Bleeding Risk Score/none,https://www.mdcalc.com/calc/1718/atria-bleeding-risk-score,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Internal Medicine, Neurology, Primary Care","Arrhythmia, Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)",atria bleeding risk score
1842,ATRIA Stroke Risk Score/none,https://www.mdcalc.com/calc/1842/atria-stroke-risk-score,Diagnosis,"Cardiology, Emergency Medicine, Family Practice, Geriatrics, Hospitalist Medicine, Neurology, Primary Care","Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)",atria stroke risk score
2021,AUDIT-C for Alcohol Use,https://www.mdcalc.com/calc/2021/audit-c-alcohol-use,Diagnosis,"Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Primary Care, Psychiatry",Drug/Alcohol Use,audit c for alcohol use
3931,Australian Type 2 Diabetes Risk (AUSDRISK) Assessment Tool,https://www.mdcalc.com/calc/3931/australian-type-2-diabetes-risk-ausdrisk-assessment-tool,"Diagnosis, Prognosis","Endocrinology, Family Practice, Primary Care",Diabetes Mellitus,australian type 2 diabetes risk ausdrisk assessment tool
10090,AWOL Score for Delirium,https://www.mdcalc.com/calc/10090/awol-score-delirium,Prognosis,"Hospitalist Medicine, Internal Medicine, Neurology, Psychiatry","Delirium, Dementia",awol score for delirium
3911,Bacterial Meningitis Score for Children,https://www.mdcalc.com/calc/3911/bacterial-meningitis-score-children,"Diagnosis, Rule Out","Critical Care (Pediatric), Emergency Medicine, Family Practice, Infectious Disease, Pediatrics",Meningitis,bacterial meningitis score for children
10562,BALL Score for Relapsed/Refractory CLL/none,https://www.mdcalc.com/calc/10562/ball-score-relapsed-refractory-cll,Prognosis,"Family Practice, Hematology and Oncology, Hospitalist Medicine, Internal Medicine","Anemia, Leukemia/Lymphoma",ball score for relapsed refractory cll
4019,BAP-65 Score for Acute Exacerbation of COPD,https://www.mdcalc.com/calc/4019/bap-65-score-acute-exacerbation-copd,Prognosis,"Critical Care, Emergency Medicine, Family Practice, Internal Medicine, Pulmonology","Asthma, Coronavirus, Pneumonia, Chronic Obstructive Pulmonary Disease",bap 65 score for acute exacerbation of copd
3825,Barcelona-Clinic Liver Cancer (BCLC) Staging Classification and Treatment Guidelines/none,https://www.mdcalc.com/calc/3825/barcelona-clinic-liver-cancer-bclc-staging-classification-treatment-guidelines,"Prognosis, Treatment","Hematology and Oncology, Hepatology, Hospitalist Medicine, Internal Medicine, Surgery (General)",Hepatocellular Carcinoma,barcelona clinic liver cancer bclc staging classification and treatment guidelines
10086,BARD Score for NAFLD Fibrosis,https://www.mdcalc.com/calc/10086/bard-score-nafld-fibrosis,Diagnosis,"Critical Care, Family Practice, Hepatology, Hospitalist Medicine, Internal Medicine, Primary Care","Chronic Liver Disease, Diabetes Mellitus, Obesity",bard score for nafld fibrosis
1894,Barnes Jewish Hospital Stroke Dysphagia Screen,https://www.mdcalc.com/calc/1894/barnes-jewish-hospital-stroke-dysphagia-screen,"Algorithm, Diagnosis, Prognosis, Rule Out, Treatment","Critical Care, Emergency Medicine, Hospitalist Medicine, Internal Medicine, Neurology",Stroke / Transient Ischemic Attack (TIA),barnes jewish hospital stroke dysphagia screen
3912,Barthel Index for Activities of Daily Living (ADL)/none,https://www.mdcalc.com/calc/3912/barthel-index-activities-daily-living-adl,Prognosis,"Critical Care (Neurologic), Family Practice, Geriatrics, Internal Medicine, Neurology, Pain Management",Stroke / Transient Ischemic Attack (TIA),barthel index for activities of daily living adl
